School Name,Region?,Metro Area,Setting?,Gender Setting,HBCU,Primary Focus,Undergraduate Size,Student Living,Religious Affiliation,Budget Category,Tuition & Fees,Room & Board,Total COA (no aid),Aid Type,Intl Students w/ Aid (#), Intl Students percentage with financial aid ,Avg Aid Awarded,Avg COA After Aid,Meets Full Need,Largest Merit Scholarship,Scholarship Name,Scholarship Info,Tuition After Largest Scholarship,Total COA After Largest Scholarship,How to Apply for Aid,Early Plan,ED2 Offered,Tags
University of North Carolina at Chapel Hill,Southeast,"Raleigh, NC",City: Small,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,,41211,13804,59015,Merit,,,,,No,Full ride,Robertson Scholarship,The premier Merit Scholarship for international students. All applicants are automatically considered upon admission. No separate application needed.,0,4000,Requires application,Early Action Only,,early_admission; global_top_200
University of North Carolina at Charlotte,Southeast,,City: Large,Coeducational,No,Balanced,High,On-campus,0-None,,22274,14458,40732,,63,0.12,15576,,No,,,,,,,Early Action Only,,early_admission
University of North Carolina at Greensboro,Southeast,"Raleigh, NC",City: Large,Coeducational,No,Balanced,High,On-campus,0-None,30000,23340,10534,37874,Merit,58,0.35,11378,26495,No,not specified,International Excellence Scholarship,The premier Merit Scholarship for international students. All applicants are automatically considered upon admission. No separate application needed.,,,Automatic consideration,Early Action Only,,early_admission; affordable
University of North Carolina at Pembroke,Southeast,,Town: Distant,Coeducational,No,Balanced,High,On-campus,0-None,,7648,11858,23506,Merit,,,7079,,No,OOS waiver,NC Promise,"A state legislative program that significantly reduces tuition costs for all undergraduate students, including internationals. It is an automatic benefit, not a competitive scholarship.",2500,18358,Automatically Awarded,,,
University of North Carolina-Asheville,Southeast,,City: Small,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,35000,24849,11398,40247,Merit,2,0.05,5388,34439,No,,,,,TBD,Unclear,Early Action Only,,early_admission
University of North Dakota,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,High,Off-campus,0-None,20000,15570,11390,30960,Merit,124,0.35,12977,17639,No,14000,UND International Excellence Scholarship,A merit-based scholarship for new international undergraduate students. Requires a separate application after being admitted.,1570,16960,Automatic consideration,,,affordable
University of North Florida,Southeast,,City: Large,Coeducational,No,Balanced,High,Off-campus,0-None,35000,20107,10192,34299,Merit,118,0.48,2307,32710,No,14000,First-Coast Scholarship. In-state tuition for Florida HSers.,The link is for scholarship programs. The named scholarship is for Florida residents. International students are considered for some general merit awards automatically upon admission.,6107,20299,Automatic consideration,,,
University of North Georgia,Southeast (Deep South),,Town: Distant,Coeducational,No,Balanced,Very High,Off-campus,0-None,,21898,12310,38208,Merit,,,,,No,OOS waiver,Full Presidential Tuition Waiver (PTW),This award is for exceptional students. Requires a separate application. International students are eligible for other tuition waivers based on their status.,6898,23208,Automatic consideration,Both,,early_admission
University of North Texas,South (Central),"Dallas, TX",City: Midsize,Coeducational,No,Balanced,High,On-campus,0-None,35000,23692,11194,38886,Merit,1208,0.93,5680,30369,No,12000,Excellence Scholarship,"International students who receive a competitive UNT scholarship of at least $1,000 are eligible for a waiver of out-of-state tuition. The Excellence Scholarship is one such award, given automatically upon admission.",11692,26886,Automatic consideration,,,
University of Northern Colorado,West (Rocky Mountains),,City: Midsize,Coeducational,No,Balanced,High,On-campus,0-None,40000,26204,15230,45434,Merit,49,0.72,6037,39397,No,8000,Trustee Scholarship,The premier Merit Scholarship awarded to top applicants. Consideration is automatic with the application for admission. No separate application is required.,18204,37434,Automatic consideration,,,
University of Northern Iowa,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,Very High,On-campus,0-None,35000,21712,9986,35698,Merit,47,0.57,4866,30054,No,9000,Advantage Award + Presidential Scholarship,The UNI Advantage award reduces tuition for out-of-state students. The Presidential Scholarship is competitive and requires a separate application after admission.,12712,26698,Automatic consideration,,,
University of Notre Dame,Midwest (Great Lakes),,Suburb: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,4-Moderately,25000,65025,17900,86925,Both,297,0.5,64039,20032,Yes (Need-blind),Full Tuition,Stamps Scholarship,"A premier scholarship program. Students are identified for consideration from the pool of Restrictive early Action applicants. No separate application is needed for initial consideration. Several $25,000 scholarships also available",0,21900,Automatic consideration,Restricted Early Action Only,,early_admission; generous_aid; affordable; global_top_200
University of Oklahoma-Norman Campus,South (Central),,Suburb: Midsize,Coeducational,No,Balanced,High,On-campus,0-None,30000,32163,15383,51546,Merit,33,0.06,14986,27879,No,not specified,,,,,,Early Action Only,,early_admission; affordable
University of Oregon,West Coast,,City: Midsize,Coeducational,No,Arts and Sciences,High,On-campus,0-None,50000,42516,16611,63127,Merit,55,0.16,13027,48007,No,35000,International Cultural Service Program,A scholarship that requires financial need and a commitment to cultural service. A separate application is required. Other Merit Scholarships are awarded automatically upon admission.,7516,28127,Requires application,Early Action Only,,early_admission
University of Pennsylvania,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Large,Coeducational,No,Balanced,Minority,On-campus,0-None,25000,68686,19174,91860,Need,366,0.28,67366,21234,Yes (Need-aware),,,,,,,Early Decision only,,early_admission; generous_aid; affordable; global_top_200; ivy_league
University of Pittsburgh-Pittsburgh Campus,Northeast (Mid-Atlantic),,City: Large,Coeducational,No,Balanced,Majority,On-campus,1-Historically,,41430,13620,59050,Merit,,,,,No,10000,International Freshmen Scholarship,A merit-based scholarship for international freshmen. Students are automatically considered based on their admission application. No separate application is needed.,31430,49050,Automatic consideration,,,
University of Portland,West Coast,,City: Large,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,50000,58100,17260,79360,Merit,9,0.09,27556,47944,No,not specified,President Scholarship,The top Merit Scholarship awarded to first-year students. Consideration is automatic with the admission application. No separate application is required.,,,,Early Action Only,,early_admission
University of Puget Sound,West Coast,"Seattle, WA",City: Midsize,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,55000,62898,15670,82568,Merit,9,1,27556,51384,No,Full ride,Lillis Foundation Scholarship,"A premier scholarship focused on academics, leadership, and service. Requires a separate application in addition to the admission application.",0,4000,By invitation only,Both,,early_admission
University of Redlands,West Coast,"Los Angeles, CA",City: Small,Coeducational,No,Balanced,Majority,On-campus,1-Historically,,60578,18208,82786,Merit,18,0.95,35299,,No,32000,Merit Scholarship,All international applicants are automatically considered for merit-based scholarships at the time of admission. No separate application is required.,28578,50786,Automatic consideration,Early Action Only,,early_admission
University of Rhode Island,Northeast (New England),,Suburb: Large,Coeducational,No,Balanced,High,On-campus,0-None,35000,37146,15210,56356,Merit,130,1,21015,33689,No,,,,,TBD,Unclear,Early Action Only,,early_admission
University of Richmond,Southeast,,City: Midsize,Coeducational,No,Balanced,High,Off-campus,1-Historically,20000,65230,17140,86370,Both,169,0.74,64488,18322,Yes (Need-aware),Full ride,Richmond Scholarship,"The premier scholarship program. Requires a separate application, and finalists are invited for an on-campus competition.",0,4000,Requires application,Both,Yes,early_admission; generous_aid; affordable
University of Rochester,Northeast (Mid-Atlantic),,City: Midsize,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,50000,67124,19570,90694,Both,468,0.31,40994,46278,Yes (Need-aware),Full ride+stipend,Handler Scholarship,"A premier scholarship for students with outstanding academic and leadership potential from an urban background. All applicants are automatically considered. Includes book stipend and $5,000 for academic enrichment. Several other scholarships available.",0,3000,Requires nominationation,Early Decision only,Yes,early_admission; global_top_200
University of San Diego,West Coast,"San Diego, CA",City: Large,Coeducational,No,Balanced,Majority,On-campus,4-Moderately,60000,59486,17270,80756,Merit,50,0.14,18918,59610,No,28000,Presidential Scholarship,The premier Merit Scholarship. All applicants are automatically considered based on their admission application. No separate application is required.,31486,52756,Automatic consideration,,,
University of San Francisco,West Coast,SF/Silicon Valley,City: Large,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,55000,60492,19764,84256,Merit,350,0.65,26300,53222,No,29000,University Scholarship,"All first-year applicants, including international students, are automatically considered for merit-based scholarships upon admission.",31492,55256,Automatic consideration,Both,,early_admission
University of Science and Arts of Oklahoma,South (Central),,Town: Distant,Coeducational,No,Balanced,Exclusively,On-campus,0-None,15000,19470,10940,34410,Merit,139, FLAG ,17606,14450,No,,,,,,Unclear,,,affordable
University of Scranton,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,Coeducational,No,Professional,High,On-campus,3-Somewhat,45000,52034,16918,72952,Both,23,0.61,32289,40663,No,Full Tuition,Presidential Scholarship,The premier Merit Scholarship. Awarded to the top 5% of accepted students. Consideration is automatic with the admission application. No separate application required.,0,20918,Automatic consideration,Early Action Only,,early_admission
University of Sioux Falls,Midwest (Great Plains),,City: Midsize,Coeducational,No,Professional,Very High,On-campus,5-Very,15000,21750,9270,35020,Merit,12,1,22786,10914,No,,,,,,Unclear,,,affordable
University of South Alabama,Southeast (Deep South),,City: Midsize,Coeducational,No,Professional,Majority,On-campus,0-None,,23260,9180,36440,Merit,No data, No data ,No data,,No,Full Tuition,Dr. Richard & Angela Carter Global USA Endowed Scholars,A premier scholarship for international students. Requires a separate competitive application after admission.,0,13180,Requires application,Early Decision only,,early_admission; generous_aid
University of South Carolina-Columbia,Southeast (Deep South),,City: Midsize,Coeducational,No,Professional,High,On-campus,0-None,35000,35972,15708,55680,Limited,105,0.25,22048,30227,No,OOS waiver,Sister State Agreement,"A tuition reduction program for students from specific German states (Brandenburg, Rhineland-Palatinate, etc.). It is not a general scholarship.",12688,32396,Automatic consideration,Early Action Only,,early_admission
University of South Dakota,Midwest (Great Plains),,Town: Distant,Coeducational,No,Professional,High,Off-campus,0-None,20000,12942,9060,26002,Merit,97,0.51,7561,18441,No,4000,Coyote Beginnings Scholarship,A merit-based scholarship for new international students. Consideration is automatic upon admission. No separate application is required.,8942,22002,Requires application,,,affordable
University of South Florida,Southeast,,City: Large,Coeducational,No,Balanced,High,On-campus,0-None,25000,17324,13595,34919,Merit,1016,0.34,10044,24875,No,OOS waiver,Out-of-State Waiver,International students who receive specific Merit Scholarships (like the USF Green & Gold Presidential Award) are eligible for an out-of-state tuition waiver. Consideration for the initial scholarship is automatic.,6410,24005,Automatic consideration,,,affordable
University of Southern California,West Coast,"Los Angeles, CA",City: Large,Coeducational,No,Balanced,Minority,On-campus,0-None,70000,71647,19931,95578,Merit,889,0.31,25588,65847,No,Full Tuition,Mork Family Scholarship,"A premier, full-tuition scholarship. All first-year applicants who apply by the deadline are automatically considered. Finalists are invited for an interview.",0,23931,Requires application,Early Action Only,,early_admission; global_top_200
University of Southern Mississippi,Southeast (Deep South),,City: Small,Coeducational,No,Professional,High,On-campus,0-None,15000,11998,11920,27918,Merit,134,0.46,14391,12891,No,Full ride,Academic Excellence + Freshman Academic Housing + oth,"This combination of awards is for Mississippi residents. International students are considered for some institutional scholarships, which requires a separate application through the university's scholarship portal.",0,4000,Automatic consideration,,,affordable
University of St. Francis,Midwest (Great Lakes),"Chicago, IL",Suburb: Large,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,30000,38110,11980,54090,Merit,45,1,24478,28502,No,,,,,,Unclear,,,affordable
University of St. Thomas,Midwest (Great Plains),,City: Large,Coeducational,No,Balanced,High,On-campus,3-Somewhat,50000,54398,14969,73367,Merit,71,0.32,20247,48969,No,Full Tuition,Schulze Innovation Scholarship,"A competitive, full-tuition scholarship for students interested in entrepreneurship. Requires a separate application, and finalists participate in a competition.",0,18969,By invitation only,Early Action Only,,early_admission
University of Tampa,Southeast,,City: Large,Coeducational,No,Balanced,Very High,On-campus,0-None,,34408,14612,53020,Merit,413,0.77,10470,,No,12000,Partial Scholarship,All international applicants are automatically considered for a merit-based scholarship upon admission. No separate application is required.,22408,41020,Automatic consideration,Early Action Only,,early_admission
University of Tennessee-Knoxville,Southeast,,City: Midsize,Coeducational,No,Professional,High,On-campus,0-None,40000,32956,13356,50312,Merit,48,0.19,11137,37337,No,18000,International Volunteer Scholarship,A merit-based scholarship for new international students. Consideration is automatic for students who apply for admission by the priority deadline.,14956,32312,Automatic consideration,Early Action Only,,early_admission
University of Texas at Arlington,South (Central),"Dallas, TX",City: Large,Coeducational,No,Professional,High,Off-campus,0-None,,29582,11228,44810,Merit,694,0.59,5161,,No,OOS waiver,Includes out-of-state waiver,The Presidential Honors Scholarship is a top award that also qualifies the recipient for an out-of-state tuition waiver. A separate application to the Honors College is required.,11950,27178,Automatic consideration,,,
University of Texas at Austin,South (Central),"Austin, TX",City: Large,Coeducational,No,Balanced,High,On-campus,0-None,35000,42778,14136,60914,Merit,320,0.18,28070,32844,No,OOS waiver,Non-Resident Tuition Waiver,"This is a policy, not a direct scholarship. International students who receive a competitive university scholarship of at least $1,000 may be eligible to have the out-of-state portion of their tuition waived.",11678,29814,Automatic consideration,Early Action Only,,early_admission; global_top_200
University of Texas at Dallas,South (Central),"Dallas, TX",City: Midsize,Coeducational,No,Balanced,High,Off-campus,0-None,50000,40144,14430,58574,Merit,386,0.41,8507,49389,No,Full ride,McDermott Scholars Program,"A premier scholarship program that covers all expenses and provides extensive enrichment opportunities. Requires a separate, comprehensive application process.",0,4000,Requires application,,,
University of Texas at El Paso,South (Central),,City: Large,Coeducational,No,Balanced,High,Off-campus,0-None,,21164,10864,36028,Merit,292,0.38,7191,,No,Full Tuition,Good Neighbor Scholarship,A program that grants a tuition waiver to a limited number of students from nations of the Western Hemisphere (other than the U.S. and Cuba). Requires a separate application.,0,14864,Requires application,,,
University of Texas at San Antonio,South (Central),"Austin, TX",City: Large,Coeducational,No,Professional,High,Off-campus,0-None,35000,26768,14912,45680,Merit,362,0.98,6489,31571,No,OOS waiver,Distinguished Presidential Scholarship,A premier scholarship for top-ranked students. Consideration is automatic for students who apply by the priority deadline. No separate application needed.,10550,29462,Automatic consideration,,,
University of Texas at Tyler,South (Central),,City: Midsize,Coeducational,No,Professional,High,On-campus,0-None,35000,25494,13756,43250,Merit,41,0.3,9193,30715,No,,,,,TBD,Unclear,,,
University of Texas Rio Grande Valley,South (Central),,City: Midsize,Coeducational,No,Balanced,High,On-campus,0-None,30000,19542,8888,32430,Merit,61,0.14,5690,26740,No,Full Tuition,Good Neighbor Scholarship,"A program that provides a tuition waiver to a limited number of students from nations of the Western Hemisphere (excluding the U.S. and Cuba). Requires a separate, competitive application.",0,12888,Requires application,,,affordable
University of the Ozarks,South (Central),,Town: Remote,Coeducational,No,Balanced,Exclusively,On-campus,2-Slightly,30000,25950,9603,39553,Both,205,1,13522,25918,No,,,,,TBD,Unclear,,,affordable
University of the Pacific,West Coast,SF/Silicon Valley,City: Large,Coeducational,No,Balanced,Majority,On-campus,1-Historically,,57080,17190,78270,Merit,,,,,No,15000,International Student Merit Scholarship,All international applicants are automatically considered for merit-based scholarships upon admission. No separate application is required.,42080,63270,Automatic consideration,Early Action Only,,early_admission
University of Toledo,Midwest (Great Lakes),,City: Large,Coeducational,No,Professional,High,On-campus,0-None,35000,21519,14830,40349,Merit,489,0.58,5540,34214,No,OOS waiver,In-state tuition,"The link is for general scholarships. The university offers the International Rocket Award, which provides a reduced tuition rate. It is awarded automatically upon admission to eligible students.",12159,30989,Automatic consideration,,,
University of Tulsa,South (Central),,City: Large,Coeducational,No,Balanced,High,On-campus,2-Slightly,10000,49546,13332,66878,Both,97,0.87,53752,9542,No,Full Tuition,Presidential Scholarship,"A competitive scholarship for students with exceptional academic records. Requires a separate application, and finalists must participate in an interview.",0,17332,Requires application,Early Action Only,,early_admission; generous_aid; affordable
University of Utah,West (Rocky Mountains),,City: Midsize,Coeducational,No,Balanced,Majority,On-campus,0-None,35000,34179,13315,51494,Merit,247,0.16,16019,30216,No,N/A (enrolled),Nagoya Scholarship,"A specific scholarship for students from Nagoya, Japan, or Nagoya University who will be attending the University of Utah. Requires a separate application.",,,Requires application,Early Action Only,,early_admission
University of Vermont,Northeast (New England),,City: Small,Coeducational,No,Balanced,High,On-campus,1-Historically,25000,45502,13746,63248,Merit,97,0.89,39514,21730,No,20000,Presidential Scholarship,The premier Merit Scholarship for out-of-state and international students. All applicants are automatically considered upon admission. No separate application required.,25502,43248,Automatic consideration,Both,,early_admission; affordable
University of Virginia,Southeast,,Suburb: Midsize,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,,60907,15862,80769,Merit,,,,,No,Full ride+stipend,Jefferson Scholars Program,A premier scholarship program that covers the full cost of attendance. Requires a nomination from the student's high school. Students cannot self-apply.,0,3000,Requires nomination,Both,,early_admission; global_top_200
University of Washington-Seattle Campus,West Coast,"Seattle, WA",City: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,,43209,18405,65614,,,,,,No,,,,,,,,,
University of Wisconsin-La Crosse,Midwest (Great Lakes),,City: Small,Coeducational,No,Balanced,Very High,On-campus,0-None,30000,19640,7610,31250,Merit,21,0.4,4943,25708,No,not specified,"I-Engage Scholarship, UWL Foundation scholarships",I-Engage: For students committed to cultural exchange. Foundation: General scholarships for admitted students. Both require a separate application through the university's scholarship portal.,,,Unclear,,,affordable
University of Wisconsin-Madison,Midwest (Great Lakes),,City: Large,Coeducational,No,Balanced,Majority,Off-campus,0-None,95000,42103,14124,60227,Merit,, No data ,No data,No data,No,Full ride+stipend,King-Morgridge Scholars Program,"A program for enterprising, creative students from developing countries who are committed to returning home to work on issues of poverty. Requires a separate application. The grant includes health insurance, airfare, and a stipend for miscellaneous expenses.",0,0,Requires application,Early Action Only,,early_admission; generous_aid; global_top_200
University of Wisconsin-Milwaukee,Midwest (Great Lakes),,City: Large,Coeducational,No,Balanced,High,On-campus,0-None,35000,22020,10896,36916,Merit,92,0.24,3380,33536,No,6000,International Student Scholarship,All international applicants are automatically considered for merit-based scholarships upon admission. No separate application is required.,16020,30916,Automatic consideration,,,
University of Wisconsin-Stout,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Professional,Very High,On-campus,0-None,,19265,9008,32273,Merit,13,0.11,2023,,No,50% tuition,YouAreWelcomeHere Scholarship Scholarship,"A renewable scholarship for international freshmen. Requires a separate application, including an essay or video, demonstrating interest and initiative in promoting intercultural learning.",9633,22641,Requires application,,,
University of Wisconsin-Superior,Midwest (Great Lakes),,Suburb: Midsize,Coeducational,No,Balanced,Very High,On-campus,0-None,25000,16728,7476,28204,Merit,204,0.87,6761,20866,No,,,,,TBD,Unclear,,,affordable
University of Wyoming,West (Rocky Mountains),,Town: Remote,Coeducational,No,Professional,High,On-campus,0-None,40000,23668,13666,41334,Merit,69,0.58,4251,35807,No,not specified,Rocky Mountain Scholars Award,A merit-based award for international students. Consideration is automatic with the admission application. No separate application is needed.,,,Automatic consideration,,,
Ursinus College,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Coeducational,No,Arts and Sciences,Exclusively,Off-campus,2-Slightly,55000,61010,17028,82038,Merit,3,0.67,24333,53927,No,35000,Gateway Scholarship,All applicants are automatically considered for this merit-based scholarship upon admission. No separate application is required.,26010,47038,Automatic consideration,Both,,early_admission
Utah State University,West (Rocky Mountains),,City: Small,Coeducational,No,Balanced,Very High,On-campus,0-None,,25744,9076,38820,Limited,,,,,No,OOS waiver,Tuition waiver for children and grandchildren of alumni.,"This is a legacy program, not a scholarship. It provides a tuition waiver for non-resident students who are children or grandchildren of USU alumni. A separate application is required.",9228,22304,Automatic consideration,,,
Utica University,Northeast (Mid-Atlantic),,City: Small,Coeducational,No,Professional,High,On-campus,0-None,35000,26930,15720,46650,Merit,12,0.57,8586,32802,No,,,,,TBD,Unclear,Both,,early_admission
Valdosta State University,Southeast (Deep South),,City: Small,Coeducational,No,Balanced,High,On-campus,0-None,,17062,9120,30182,Merit,,,,,No,OOS waiver,Out-of-state tuition waiver,"A limited number of waivers are awarded to international students on a competitive basis. Requires a separate application, essays, and letters of recommendation.",6007,19127,Requires application,,,
Valparaiso University,Midwest (Great Lakes),"Chicago, IL",Suburb: Small,Coeducational,No,Professional,High,On-campus,4-Moderately,40000,48450,13618,66068,Merit,69,0.69,27530,36364,No,31000,Presidential Scholarships,A range of Merit Scholarships awarded automatically to students upon admission. The highest awards are by invitation to a scholarship competition.,17450,35068,Automatic consideration,,,
Vanderbilt University,Southeast,,City: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,15000,67498,22054,93552,Both,197,0.28,78582,10418,No,Full ride+stipend,Ingram Scholars,"A premier scholarship for students who demonstrate a commitment to community service and leadership. Requires a separate, comprehensive application. Stipend is need-based. Full-tuition Cornelius Vanderbilt and Chancellor's also available",0,0,Requires application,Early Decision only,Yes,early_admission; generous_aid; affordable; global_top_200
Vassar College,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,15000,71030,18240,93270,Need,52,0.32,76392,12828,Yes (Need-aware),,,,,,,Early Decision only,Yes,early_admission; generous_aid; affordable
Villanova University,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Coeducational,No,Balanced,High,On-campus,4-Moderately,25000,67776,17694,89470,Both,83,0.58,63794,21803,No,Full ride+stipend,Presidential Scholarship,A premier scholarship for students with a passion for learning and leadership. Requires a separate nomination from the applicant's high school. Students cannot self-apply.,0,3000,Requires nomination,Both,Yes,early_admission; generous_aid; affordable
Virginia Commonwealth University,Southeast,,City: Midsize,Coeducational,No,Balanced,High,On-campus,0-None,50000,39194,14268,57462,Merit,227,0.62,12294,46642,No,28000,Presidential Scholarship + Out-of-State Scholarship,The Presidential Scholarship is the premier award. All first-year applicants who apply by the priority deadline are automatically considered. An Out-of-State scholarship may also be awarded.,11194,29462,Automatic consideration,,,
Virginia Polytechnic Institute and State University,Southeast,,City: Small,Coeducational,No,Professional,High,On-campus,0-None,60000,37158,16550,57708,Merit,,,,55582,No,not specified,International Presidential Scholarships program,"The link is broken/outdated. Virginia Tech offers very limited scholarships to international students, generally need-based.",,,,Early Action Only,,early_admission
Voorhees University,Southeast (Deep South),,Rural: Remote,Coeducational,Yes,Professional,Exclusively,On-campus,3-Somewhat,,12630,7346,23976,Merit,25,0.78,7032,,No,,,,,,Unclear,,,
Wabash College,Midwest (Great Lakes),,Town: Distant,Men's,No,Arts and Sciences,Exclusively,On-campus,1-Historically,25000,50800,14400,69200,Merit,38,0.97,42284,24141,No,Full ride,Trustee International Scholarship,All admitted international students are automatically considered for merit-based scholarships. No separate application is required.,0,4000,Automatic consideration,Both,,early_admission; affordable
Wagner College,Northeast (Mid-Atlantic),New York City,City: Large,Coeducational,No,Balanced,High,On-campus,1-Historically,25000,53200,16485,73685,Pending,No data, No data ,51422,20178,,,,,,,Unclear,Early Action Only,,early_admission; generous_aid; affordable
Wake Forest University,Southeast,"Raleigh, NC",City: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,75000,67642,21312,92954,Merit,66,0.16,14003,72603,No,Full ride+stipend,"Carswell, Gordon, Reynolds, and Stamps Scholarships","These are the premier merit-based scholarships. All first-year applicants who apply by the deadline are automatically considered. No separate application required. Includes $3,400 for personal expenses. Merit Scholarships to fewer than 3% of first-year applicants.",0,600,Automatic consideration,Both,Yes,early_admission
Walsh University,Midwest (Great Lakes),,Suburb: Large,Coeducational,No,Professional,High,On-campus,3-Somewhat,,36045,12170,52215,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
Wartburg College,Midwest (Great Plains),,Town: Distant,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,,51040,11062,66102,Both,No data, No data ,No data,,No,18000,Wartburg International Scholarship,All admitted international students are automatically considered for Merit Scholarships. No separate application is required.,33040,48102,Automatic consideration,,,generous_aid
Washington & Jefferson College,Northeast (Mid-Atlantic),,Suburb: Large,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,30000,29570,14710,48280,Merit,14,0.93,17232,28863,No,17000,International Grant,All international students are automatically considered for grants and Merit Scholarships upon admission. No separate application is required.,12570,31280,Automatically Awarded,Early Decision only,,early_admission; affordable
Washington and Lee University,Southeast,,Town: Distant,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,,68045,18685,90730,Both,117,0.87,82358,,Yes (Need-blind),Full ride+stipend,Johnson Scholarship,"A premier scholarship covering full costs and providing additional funding. Requires a separate application, and finalists are invited to an on-campus competition. Stipend is need-based. Includes $10.000 for summer experience. Awarded to 10% of class (44 students).",0,0,Requires application,Early Decision only,Yes,early_admission; generous_aid
Washington College,Northeast (Mid-Atlantic),,Town: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,45000,55326,18250,77576,Both,21,0.49,30882,42708,No,40000,Colin Ferguson Tuition Grant + Fellowship,All international applicants are automatically considered for merit-based scholarships and grants upon admission. No separate application is required.,15326,37576,Automatic consideration,Both,,early_admission
Washington State University,West Coast,,Town: Distant,Coeducational,No,Professional,High,On-campus,0-None,30000,29950,13622,47572,Merit,236,0.4,19488,26716,No,4000,International Academic Awards,Merit-based scholarships for new international students. Consideration is automatic with the admission application. No separate application needed.,25950,43572,Automatic consideration,,,affordable
Washington University in St Louis,Midwest (Great Plains),,Suburb: Large,Coeducational,No,Arts and Sciences,Majority,Off-campus,0-None,25000,65790,21854,91644,Both,30,0.05,63918,23842,Yes (Need-aware),Full Tuition,"Danforth Scholars, Annika Rodriguez Scholars Program","These are premier scholarship programs. Both require a separate, competitive application with essays. The Danforth focuses on leadership; the Rodriguez on service and leadership.",0,25854,Requires application,Early Decision only,Yes,early_admission; generous_aid; affordable; global_top_200
Wayne State University,Midwest (Great Lakes),,City: Large,Coeducational,No,Professional,Majority,On-campus,0-None,40000,34650,12530,51180,Merit,195,0.57,11190,36186,No,OOS waiver,YouAreWelcomeHere Scholarship Scholarship,"A renewable scholarship for first-year international students. Requires a separate application, including an essay or video, after being admitted.",16159,32689,Requires application,,,
Wellesley College,Northeast (New England),"Boston, MA",Suburb: Large,Women's,No,Arts and Sciences,Exclusively,On-campus,1-Historically,5000,67176,21024,92200,Need,81,0.25,86187,2053,Yes (Need-aware),,-,-,,,Unclear,Early Decision only,Yes,early_admission; generous_aid; affordable
Wentworth Institute of Technology,Northeast (New England),"Boston, MA",City: Large,Coeducational,No,Professional,Very High,On-campus,0-None,55000,42884,19355,66239,Merit,154,0.99,9578,54102,No,,,,,TBD,Unclear,,,
Wesleyan College,Southeast (Deep South),,City: Midsize,Women's,No,Balanced,Very High,On-campus,3-Somewhat,,27650,10996,42646,Merit,No data,,No data,,No,46000,Open World Scholarship,A merit-based scholarship for international students. All admitted international students are automatically considered. No separate application is required.,-18350,0,Requires nomination,,,generous_aid
Wesleyan University,Northeast (New England),,City: Small,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,10000,70042,19872,93914,Both,103,0.33,83486,6564,Yes (Need-aware),Full ride+stipend,Freeman Asian Scholars Program,"A full-expense scholarship for students from specific Asian countries (People's Republic of China, Taiwan, Indonesia, Japan, Malaysia, the Philippines, Singapore, South Korea, Thailand, and Vietnam). Requires a separate, competitive application. Includes supplies, and travel to and from home country. In addition to the 11 Freeman Asian Scholars, the school expects to offer need-based financial assistance to approximately 30 foreign students from a pool of approximately 1000 such applicants.",0,0,Automatic consideration,Early Decision only,Yes,early_admission; generous_aid; affordable
West Chester University of Pennsylvania,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Coeducational,No,Professional,High,On-campus,0-None,30000,22261,10326,36587,Merit,12,0.36,11246,27739,No,,,,,TBD,Unclear,,,affordable
West Texas A & M University,South (Central),,Town: Fringe,Coeducational,No,Balanced,High,On-campus,0-None,,10834,8320,23154,Merit,,,13479,,No,,,,,TBD,Unclear,,,
West Virginia University,Southeast,,City: Small,Coeducational,No,Balanced,High,On-campus,0-None,,27360,11618,42978,Unclear,No data,,No data,,No,not specified,Non-resident scholarship,"The top award is the Scholarship of Distinction. All non-resident students, including internationals, are automatically considered upon admission based on GPA and test scores.",,,,,,generous_aid
