Common App Member,School Type,Deadline ED,Deadline EDII,Deadline EA,Deadline EAII,Deadline REA,Deadline RD/ Rolling,App Fee - US Citizen (USD),App Fee - INTL (USD),Personal Essay Required?,Courses & Grades,Supplements - Portfolio?,Supplements - Writing,Test Policy,SAT/ACT Tests Used,INTL,Recommendation - Teacher Evaluations Number required,Recommendation - Other Evaluations Number required,Mid Year Report required,Counselor Recommendation required,Saves Forms
Savannah College of Art and Design,Coed,,,,,,Rolling,$100,$100,,,SR,,F,See Website,See Website,1,,,,Y
Savannah State University,Coed,,,,,,5/31/2026,$0,$20,,,,,A,SAT without essay or ACT with science,D or I or T,,,,,
School of the Art Institute of Chicago,Coed,,,11/15/2025,,,1/15/2026,$65,$85,,,SR,,S,See Website,See Website,1,,,,Y
School of Visual Arts,Coed,,,,,,1/12/2026,$50,$50,Yes,,,,N,None,C or D or I or T or P,,,,,
Schreiner University,Coed,,,11/1/2025,12/1/2025,,3/1/2026,$25,$25,,,,,N,None,D or I or T,,,,,
Scripps College,Women,11/15/2025,1/8/2026,,,,1/8/2026,$60,$60,Yes,,SR,,N,None,D or I or T,2,,Y,Y,
Seattle Pacific University,Coed,,,11/1/2025,,,5/1/2026,$50,$50,,,,,N,See Website,See Website,,,,,Y
Seattle University,Coed,,,11/15/2025,,,1/15/2026,$60,$60,Yes,,,,N,See Website,See Website,1,,Y,Y,Y
Seton Hall University,Coed,,,11/15/2025,12/15/2025,,2/15/2026,$65,$65,Yes,,,,N,None,D or I or T,1,,,Y,
Seton Hill University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,D or I or T,,,,,Y
Sewanee: The University of the South,Coed,11/15/2025,1/15/2026,12/1/2025,,,2/1/2026,$0,$0,Yes,,,,N,None,See Website,1,,,Y,
Shanghai Jiao Tong University Global College,Coed,,,11/15/2025,,,Rolling,$75,$75,Yes,Yes,,Yes,F,See Website,I or T,1,,Y,Y,Y
Shaw University,Coed,,,,,,Rolling,$0,$0,,,,,S,None,D or I or T,,,,,
Shawnee State University,Coed,,,,,,Rolling,$0,$50,,,,,S,See Website,See Website,,,,,
Shenandoah University,Coed,,,11/4/2025,,,Rolling,$30,$30,,,,,N,None,D or I or T or P,,,,,
Shepherd University,Coed,,,11/15/2025,,,Rolling,$45,$45,,,,,S,SAT without essay or ACT with science,D or I or T,,,,,Y
Shippensburg University of Pennsylvania,Coed,,,,,,Rolling,$45,$45,,,,,S,None,D or I or T,,,,,
Siena University,Coed,11/15/2025,,12/15/2025,1/15/2026,,4/15/2026,$50,$50,,,,,S,See Website,See Website,,,,,
Siena University,Coed,,,,,,4/20/2026,$50,$50,,,,,S,See Website,See Website,,,,,
Siena University,Coed,,,,,,11/1/2025,$50,$50,,,,,S,See Website,See Website,,,,,
Simmons University,Women,,,11/1/2025,12/1/2025,,4/1/2026,$0,$0,Yes,,,Yes,N,See Website,D or I or T or P,1,,Y,Y,Y
Simon's Rock at Bard College,Coed,,,12/1/2025,,,4/1/2026,$0,$0,,,,Yes,N,None,See Website,2,,,,Y
Simpson College,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Simpson University,Coed,,,,,,7/29/2026,$0,$0,,,,,S,None,See Website,,,,,
SKEMA Business School - US Campus,Coed,,,11/1/2025,,,2/1/2026,$35,$35,,,,,S,None,I or T,,,,Y,Y
Skidmore College,Coed,11/1/2025,1/8/2026,,,,1/8/2026,$0,$0,Yes,,,,S,SAT without essay or ACT without science or writing,See Website,2,,Y,Y,
Smith College,Women,11/15/2025,1/5/2026,,,,1/15/2026,$0,$0,Yes,,SR,,N,See Website,See Website,2,,Y,Y,Y
Soka University of America,Coed,,,11/1/2025,,,1/15/2026,$30,$30,,,,Yes,N,None,See Website,1,,,Y,Y
South Carolina State University,Coed,,,,,,Rolling,$0,$0,,Yes,,,S,SAT without essay or ACT with science and writing,D or I or T,,,,,
Southeast Missouri State University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Southeastern University,Coed,,,,,,Rolling,$40,$40,,,,,F,None,D or I or T,,,,,Y
Southern California Institute of Architecture,Coed,1/15/2026,,,,,Rolling,$85,$85,Yes,,,,N,See Website,D or I or T,,,,Y,Y
Southern Connecticut State University,Coed,,,,,,Rolling,$50,$50,Yes,,,,F,None,See Website,,,,,Y
Southern Illinois University Carbondale,Coed,,,,,,Rolling,$40,$40,,,,,N,None,D or I or T,,,,,
Southern Illinois University Edwardsville,Coed,,,,,,Rolling,$0,$40,,,,,N,See Website,See Website,,,,,
Southern Methodist University,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$0,$0,Yes,,,,N,See Website,See Website,,,,Y,Y
Southern Nazarene University,Coed,,,,,,6/28/2026,$0,$0,,,,,F,None,See Website,,,,,
Southern New Hampshire University,Coed,,,11/15/2025,,,Rolling,$0,$0,Yes,,,,N,See Website,See Website,,,,,Y
Southern Oregon University,Coed,,,,,,Rolling,$60,$60,,,,,N,None,I or T,,,,,
Southern University and A&M College,Coed,,,,,,7/29/2026,$30,$30,,,,,F,SAT without essay or ACT with science and writing,I or T,,,,,
Southern University at New Orleans (SUNO),Coed,,,,,,Rolling,$45,$45,,,,,A,SAT without essay or ACT without science or writing,See Website,,,Y,,
Southern Utah University,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,See Website,,,,,
Southwestern University,Coed,11/1/2025,,12/3/2025,,,2/4/2026,$0,$0,Yes,,,,F,SAT with essay or ACT without science or writing,I or T,,,,Y,Y
Spalding University,Coed,,,,,,Rolling,$0,$0,,,,,S,None,See Website,,,,,Y
Spartanburg Methodist College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Spelman College,Women,11/1/2025,,11/1/2025,,,2/1/2026,$40,$40,Yes,,,,N,None,D or I or T,2,,Y,,
Spring Arbor University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,I or T or P,,,,,Y
Spring Hill College,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,D or I or T,,,Y,,Y
Springfield College,Coed,12/1/2025,1/15/2026,,,,Rolling,$0,$0,Yes,,,Yes,N,None,See Website,1,,Y,,Y
St. Ambrose University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,I or T,,,,,Y
St. Bonaventure University,Coed,,,,,,Rolling,$0,$0,Yes,,,Yes,S,See Website,See Website,1,,,Y,Y
St. Catherine University,Women,,,,,,Rolling,$0,$0,Yes,,,,S,See Website,See Website,,,,,
St. Edward's University,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,See Website,D or I or T,,,Y,Y,Y
St. Francis College,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT with science,C or D or I or T,,,,,Y
St. John Fisher University,Coed,12/1/2025,,,,,Rolling,$0,$0,Yes,,,,N,None,See Website,,,Y,,
St. John's College (MD),Coed,11/1/2025,1/15/2026,11/15/2025,,,1/15/2026,$0,$0,Yes,Yes,,,N,None,D or I or T or P,1,,,Y,Y
St. John's College (NM),Coed,11/1/2025,1/15/2026,11/15/2025,,,1/15/2026,$0,$0,Yes,,,,N,None,D or I or T or P,1,,,Y,Y
St. John's University (NY),Coed,,,12/1/2025,,,2/1/2026,$0,$0,,,,,N,See Website,D or I or T,,,,,Y
"St. Joseph's University, New York - Brooklyn Campus",Coed,,,,,,Rolling,$25,$25,Yes,,,,N,See Website,See Website,,,,Y,Y
"St. Joseph’s University, New York - Long Island Campus",Coed,,,,,,Rolling,$25,$25,Yes,,,,N,See Website,See Website,,,,Y,Y
St. Lawrence University,Coed,2/2/2026,,12/1/2025,,,2/2/2026,$0,$0,Yes,,,,N,See Website,See Website,2,,Y,Y,Y
St. Mary's College of Maryland,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$50,$50,Yes,,,,S,See Website,See Website,1,,Y,Y,Y
St. Mary's University,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,D or I or T,,,,,Y
St. Norbert College,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,D or I or T,,,,,Y
St. Olaf College,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$0,$0,Yes,,,,N,None,D or I or T,1,,,,
St. Thomas Aquinas College,Coed,,,,,,Rolling,$25,$25,Yes,,,,N,See Website,See Website,1,,,Y,Y
St. Thomas University (FL),Coed,,,,,,Rolling,$0,$0,,,,,I,None,C or D or I or T or P,,,,,
"St. Thomas University, Canada",Coed,,,,,,Rolling,$55,$55,,,,,N,None,C or D or I or T or P,,,Y,,Y
Stanford University,Coed,,,,,11/1/2025,1/5/2026,$100,$100,Yes,Yes,COL,,A,SAT without essay or ACT without science or writing,See Website,2,,Y,Y,
Stephen F. Austin State University,Coed,,,,,,Rolling,$25,$50,,,,,F,None,See Website,,,,,
Stephens College,Women,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Stetson University,Coed,11/1/2025,,11/15/2025,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,Y
Stevens Institute of Technology,Coed,11/15/2025,1/12/2026,12/5/2025,,,1/12/2026,$75,$75,Yes,,,,S,See Website,See Website,1,,Y,Y,Y
Stevenson University,Coed,,,,,,Rolling,$0,$0,Yes,,SR,Yes,N,None,C or D or I or T or P,,,,,Y
Stockton University,Coed,,,,,,Rolling,$50,$50,,,,,S,See Website,D or I or T or P,,,,,Y
Stonehill College,Coed,12/1/2025,2/1/2026,11/1/2025,1/15/2026,,2/15/2026,$60,$60,Yes,,,,I,None,See Website,1,,Y,Y,Y
Suffolk University,Coed,,,11/15/2025,,,2/15/2026,$50,$50,Yes,,,,S,See Website,See Website,1,,Y,Y,
SUNY Alfred State College of Technology,Coed,,,,,,Rolling,$50,$50,,,,,N,None,I or T,,,,,Y
SUNY Binghamton University,Coed,,,11/1/2025,,,1/15/2026,$50,$50,Yes,,,,N,See Website,See Website,1,,,,
SUNY Buffalo State,Coed,,,,,,Rolling,$50,$50,Yes,,,,N,None,C or D or I or T or P,,,,,Y
SUNY Cobleskill,Coed,,,,,,Rolling,$50,$50,,,,,N,See Website,I or T,,,,,Y
SUNY College at Brockport,Coed,,,,,,Rolling,$50,$50,Yes,,,,N,None,I or T,,,,Y,
SUNY College at Geneseo,Coed,,,11/15/2025,,,3/1/2026,$50,$50,Yes,,,,N,See Website,See Website,1,,,Y,Y
SUNY College at Old Westbury,Coed,,,11/15/2025,,,Rolling,$50,$50,Yes,,,,S,See Website,I or T,1,,Y,Y,Y
SUNY College of Environmental Science & Forestry,Coed,,,11/15/2025,,,1/15/2026,$50,$50,,,,,N,See Website,See Website,,,,,
SUNY College of Technology at Canton,Coed,,,,,,Rolling,$50,$50,,,,,S,See Website,I or T or P,,,,,Y
SUNY Cortland,Coed,,,11/15/2025,,,Rolling,$50,$50,Yes,,,,N,See Website,See Website,,,,Y,
SUNY Delhi,Coed,,,,,,Rolling,$50,$50,,,,,S,See Website,See Website,,,,,Y
SUNY Farmingdale State College,Coed,,,,,,Rolling,$50,$50,,,,,S,See Website,I or T,,,,,Y
SUNY Fredonia,Coed,,,,,,Rolling,$50,$50,,,,,S,None,C or D or I or T or P,,,,,Y
SUNY Maritime College,Coed,,,11/15/2025,,,6/1/2026,$50,$50,Yes,,,,S,See Website,See Website,1,,,Y,Y
SUNY Morrisville State College,Coed,,,,,,Rolling,$50,$50,,,,,S,See Website,I or T,,,,,Y
SUNY New Paltz,Coed,,,11/15/2025,,,Rolling,$50,$50,Yes,,,Yes,S,See Website,I or T,1,,,,Y
SUNY Oneonta,Coed,,,11/15/2025,,,4/1/2026,$50,$50,Yes,,,,N,See Website,I or T,1,,Y,Y,Y
SUNY Oswego,Coed,,,11/15/2025,,,Rolling,$50,$50,,,,,N,See Website,See Website,,,,,
SUNY Plattsburgh,Coed,,,,,,Rolling,$50,$50,Yes,,,,N,See Website,I or T or P,,,,,Y
SUNY Polytechnic Institute,Coed,,,11/15/2025,,,Rolling,$50,$50,Yes,,,,S,See Website,I or T,1,,,Y,Y
SUNY Potsdam,Coed,,,,,,Rolling,$50,$50,Yes,,,,S,See Website,See Website,1,,,Y,Y
SUNY Stony Brook University,Coed,,,11/1/2025,,,2/1/2026,$50,$50,Yes,,,,S,See Website,See Website,,,,,Y
SUNY University at Buffalo,Coed,,,11/1/2025,,,2/1/2026,$50,$50,Yes,,,,F,See Website,See Website,,,,,
"SUNY, University at Albany",Coed,,,11/15/2025,,,4/15/2026,$50,$50,Yes,,,,N,SAT without essay or ACT without science or writing,D or I or T or P,,,,,Y
Swarthmore College,Coed,11/15/2025,1/4/2026,,,,1/4/2026,$60,$60,Yes,,,,N,None,See Website,2,,Y,Y,Y
Sweet Briar College,Women,11/1/2025,,,,,7/15/2026,$0,$0,,Yes,,,S,See Website,See Website,,,,,Y
Syracuse University,Coed,11/15/2025,1/5/2026,,,,1/5/2026,$85,$85,Yes,,,,N,None,See Website,1,,Y,Y,
Taejae University,Coed,,,12/31/2025,,,3/15/2026,$0,$0,,Yes,,,N,None,See Website,,,,,Y
Tarleton State University,Coed,,,,,,7/27/2026,$50,$50,,,,,S,None,See Website,,,,,
Taylor University,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,See Website,,,,,Y
Temple University,Coed,,,11/1/2025,,,4/30/2026,$55,$55,,,,,N,See Website,See Website,,,,,Y
"Temple University, Japan Campus",Coed,,,,,,Rolling,$75,$75,,,,,N,See Website,See Website,,,,,Y
Tennessee State University,Coed,,,,,,Rolling,$25,$25,,,,,A,SAT without essay or ACT without science or writing,See Website,,,,,
Texas A&M University,Coed,,,,,,12/1/2025,$75,$90,,,,,N,None,I or T,,,,,
Texas A&M University - San Antonio,Coed,,,,,,6/29/2026,$30,$50,,,,,N,None,D or I or T or P,,,,,
Texas A&M University at Galveston,Coed,,,,,,5/1/2026,$75,$90,,,,,N,None,I or T,,,,,
Texas Christian University,Coed,11/1/2025,2/1/2026,11/1/2025,,,2/1/2026,$50,$50,Yes,,,,N,See Website,D or I or T,1,,,Y,
Texas College,Coed,,,,,,7/29/2026,$0,$0,,,,,S,See Website,See Website,,,,,
Texas Lutheran University,Coed,,,11/15/2025,,,7/27/2026,$0,$100,Yes,,,,N,See Website,I or T,,,,,
Texas State University,Coed,,,,,,Rolling,$75,$90,,,,,N,See Website,See Website,,,,,
Texas Tech University,Coed,,,,,,Rolling,$75,$75,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Texas Wesleyan University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,,,
Texas Woman's University,Coed,,,,,,7/1/2026,$50,$75,,,,,S,See Website,See Website,,,,,Y
The American College of Greece,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,See Website,1,,Y,Y,
The American University of Greece Global Campus,Coed,,,12/15/2025,,,4/3/2026,$0,$0,,,,,I,See Website,See Website,,,,,
The American University of Paris,Coed,,,11/15/2025,2/1/2026,,3/15/2026,$50,$50,Yes,,,,F,See Website,See Website,1,,,Y,Y
The American University of Rome,Coed,,,11/15/2025,,,Rolling,$50,$50,Yes,Yes,,,N,None,C or D or I or T,1,,Y,,
The Catholic University of America,Coed,11/1/2025,2/1/2026,11/1/2025,,,2/1/2026,$0,$0,Yes,,,,F,See Website,D or I or T,1,,Y,Y,Y
"The Citadel, The Military College of South Carolina",Coed,,,,,,7/15/2026,$40,$40,,,,,F,None,See Website,,,,,Y
The College of Idaho,Coed,,,11/15/2025,1/15/2026,,2/15/2026,$0,$0,Yes,,,,F,SAT without essay or ACT without science or writing,D or I or T,,,,,Y
The College of New Jersey,Coed,11/1/2025,,11/1/2025,,,2/1/2026,$65,$65,Yes,,SR,,S,See Website,See Website,,,,,
The College of St. Scholastica,Coed,,,,,,Rolling,$0,$0,,,,,N,See Website,D or I or T,,,,,Y
The Culinary Institute of America,Coed,,,11/14/2025,12/31/2025,,2/15/2026,$50,$50,,,,Yes,N,None,I or T or P,,,,Y,Y
The Evergreen State College,Coed,,,,,,Rolling,$60,$60,,,,,S,See Website,See Website,,,,,Y
The George Washington University,Coed,11/1/2025,1/5/2026,,,,1/5/2026,$80,$80,Yes,,SR,Yes,S,See Website,D or I or T or P,1,,Y,Y,Y
The Master's University,Coed,,,,,,Rolling,$45,$45,,,,,N,None,T,,1,,,
The New School,Coed,11/1/2025,,11/1/2025,,,3/1/2026,$0,$0,,,,,N,None,C or D or I or T or P,1,,Y,Y,
The Ohio State University,Coed,,,11/1/2025,,,1/15/2026,$60,$70,Yes,,,,A,See Website,See Website,,,,,Y
The University of Alabama,Coed,,,,,,Rolling,$40,$40,,,,,F,See Website,See Website,,,,,
The University of Alabama in Huntsville,Coed,,,,,,Rolling,$40,$40,,,,,S,See Website,D or I or T or P,,,,,
The University of Arizona,Coed,,,11/1/2025,,,4/15/2026,$80,$85,,Yes,,Yes,S,None,See Website,,,,,
The University of Findlay,Coed,,,,,,Rolling,$0,$0,,,,,F,None,D or I or T,,,,,Y
The University of Hong Kong,Coed,,,,,,3/31/2026,$80,$80,,,,Yes,F,See Website,See Website,,,Y,,Y
The University of Memphis,Coed,,,,,,7/1/2026,$25,$50,,,,,A,See Website,See Website,,,,,
The University of Oklahoma,Coed,,,,,,Rolling,$50,$90,Yes,,,Yes,N,See Website,See Website,,,,,Y
The University of Olivet,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
The University of Scranton,Coed,11/15/2025,,11/15/2025,,,7/27/2026,$0,$50,Yes,,,,S,None,D or I or T or P,,,,Y,
The University of South Alabama,Coed,,,,,,Rolling,$35,$35,,,,,F,See Website,See Website,,,,,Y
The University of Tennessee Knoxville,Coed,,,11/1/2025,,,12/15/2025,$75,$75,Yes,,,,A,See Website,See Website,,,,,Y
The University of Tennessee- Chattanooga,Coed,,,,,,Rolling,$30,$30,,,,,A,SAT without essay or ACT without science or writing,See Website,,,,,
The University of Tennessee-Martin,Coed,,,,,,Rolling,$40,$130,,,,,A,SAT without essay or ACT without science or writing,See Website,,,,,
The University of Tennessee-Southern,Coed,,,,,,Rolling,$30,$30,,,,,S,See Website,D or I or T,,,,,
The University of Texas at Arlington,Coed,,,,,,7/26/2026,$75,$75,,,,,S,See Website,D or I or T,,,,,
The University of Texas at Austin,Coed,,,10/15/2025,,,12/1/2025,$75,$90,Yes,,,,A,See Website,I or T,,,,,
The University of Texas at Dallas,Coed,,,,,,Rolling,$75,$75,,,,,N,See Website,See Website,,,,,
The University of Texas at El Paso,Coed,,,,,,Rolling,$0,$65,,,,,A,See Website,D or T,,,,,
The University of Texas at San Antonio,Coed,,,,,,Rolling,$75,$75,,,,Yes,S,See Website,See Website,,,,,Y
The University of Texas at Tyler,Coed,,,,,,Rolling,$60,$75,,,,,F,None,D or I or T,,,,,
The University of Tulsa,Coed,11/1/2025,,11/1/2025,2/1/2026,,Rolling,$50,$50,,,,,S,None,See Website,,,,,Y
The University of Utah,Coed,,,12/1/2025,,,Rolling,$55,$65,,,,,S,None,See Website,,,,,Y
The University of Virginia's College at Wise,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,Y
The University of West Florida,Coed,,,,,,Rolling,$30,$30,,,,,A,SAT without essay or ACT without science or writing,See Website,,,,,Y
Thiel College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,I or T,,,,,Y
Thomas College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,,,Y
Thomas Jefferson University,Coed,,,11/1/2025,,,3/1/2026,$50,$50,Yes,,,,S,None,See Website,1,,,,Y
Thomas More University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Tiffin University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Towson University,Coed,,,11/1/2025,,,2/1/2026,$50,$50,Yes,,,,N,See Website,See Website,,,,,Y
Transylvania University,Coed,,,10/31/2025,12/1/2025,,7/29/2026,$0,$0,,,,,S,See Website,C or D or I or T or P,,,,,
Trevecca Nazarene University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,D or I or T,,,,,Y
Trine University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,Y,,
Trinity College,Coed,11/15/2025,1/15/2026,,,,1/15/2026,$65,$65,Yes,,,,S,See Website,See Website,1,,Y,,
Trinity University,Coed,11/1/2025,2/1/2026,11/1/2025,,,2/1/2026,$0,$0,Yes,,,,N,None,D or I or T,1,,,Y,
Trinity Washington University,Women,,,,,,Rolling,$0,$0,,,,,N,None,I or T,,,,,Y
Triton College,Coed,,,,,,4/3/2026,$0,$0,,,,,S,See Website,See Website,,,,,
Truman State University,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,See Website,,,,,Y
Tufts University,Coed,11/3/2025,1/5/2026,,,,1/5/2026,$75,$75,Yes,,,,N,See Website,See Website,1,,Y,Y,
Tulane University,Coed,11/1/2025,1/15/2026,11/10/2025,,,1/15/2026,$0,$0,Yes,,,,N,None,D or I or T,,,,Y,
Tusculum University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,C or D or I or T or P,,,,,
Tuskegee University,Coed,,,,,,Rolling,$25,$35,Yes,,,,S,SAT without essay or ACT with science,C or D or I or T,,,,Y,Y
UCAM Universidad Católica de Murcia,Coed,,,,,,Rolling,$165,$165,Yes,,,,N,None,See Website,1,,Y,,Y
"UMBC: University of Maryland, Baltimore County",Coed,,,11/1/2025,,,2/1/2026,$75,$75,Yes,,SR,Yes,N,None,See Website,,,,,Y
"Underwood International College, Yonsei University",Coed,,,,,,4/3/2026,$150,$150,Yes,,,,N,See Website,See Website,,,Y,,
Union College,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$0,$0,Yes,,SR,,S,See Website,See Website,1,,Y,Y,
Universidad Carlos III de Madrid,Coed,,,,,,Rolling,$100,$100,,,,,F,SAT without essay or ACT without science or writing,See Website,,,,,
Universidad del Sagrado Corazon,Coed,,,,,,Rolling,$0,$0,,,,,A,SAT without essay or ACT without science or writing,See Website,,,Y,Y,Y
University College Dublin,Coed,,,,,,Rolling,$80,$80,,,,,S,See Website,See Website,,,,,Y
University of Aberdeen,Coed,,,,,,Rolling,$75,$75,,Yes,,,F,See Website,See Website,1,,Y,Y,Y
University of Akron,Coed,,,11/1/2025,,,Rolling,$0,$0,,,,,F,See Website,C or D or I or T or P,,,,,Y
University of Alabama at Birmingham (UAB),Coed,,,,,,Rolling,$40,$40,,,,,F,See Website,D or I or T,,,,,
University of Alaska Fairbanks,Coed,,,,,,Rolling,$0,$0,,Yes,,,N,None,See Website,,,,,
University of Arkansas,Coed,,,,,,Rolling,$55,$65,,,,,S,See Website,See Website,,,,,Y
University of Bradford,Coed,,,,,,Rolling,$0,$0,Yes,,,,A,See Website,See Website,1,,,Y,Y
University of Bridgeport,Coed,,,12/1/2025,2/1/2026,,Rolling,$0,$0,Yes,,,,N,None,See Website,,,,,
University of Central Arkansas,Coed,,,,,,Rolling,$25,$50,,,,,S,See Website,See Website,,,,,
University of Central Florida,Coed,,,10/15/2025,,,Rolling,$30,$30,,,,,A,See Website,See Website,,,,,Y
University of Central Missouri,Coed,,,,,,Rolling,$30,$75,,,,,S,None,See Website,,,,,
University of Charleston,Coed,,,,,,Rolling,$0,$0,,Yes,,,N,None,C or D or I or T or P,,,,,Y
University of Chicago,Coed,11/3/2025,1/5/2026,11/3/2025,,,1/5/2026,$90,$90,Yes,,,Yes,N,See Website,See Website,2,,,,Y
University of Cincinnati,Coed,,,11/1/2025,,,Rolling,$50,$100,,,,,N,None,See Website,,,,,Y
University of Colorado Boulder,Coed,,,11/15/2025,,,1/15/2026,$65,$70,Yes,,,,N,See Website,See Website,1,,,,
University of Colorado Colorado Springs,Coed,,,,,,Rolling,$50,$60,,,,,N,None,D or I or T or P,,,,,Y
University of Colorado Denver,Coed,,,,,,Rolling,$50,$75,,,,,F,See Website,See Website,,,,,
University of Connecticut,Coed,11/1/2025,,,,,1/15/2026,$80,$80,Yes,,SR,,N,None,See Website,,,,,
University of Dallas,Coed,,,11/1/2025,12/1/2025,,3/1/2026,$50,$50,Yes,,,,A,See Website,See Website,,,,,Y
University of Dayton,Coed,,,11/1/2025,,,2/1/2026,$0,$0,Yes,,,,N,See Website,See Website,,,,,Y
University of Delaware,Coed,,,11/1/2025,,,1/15/2026,$75,$75,Yes,,,,F,See Website,See Website,,,,,Y
University of Denver,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$65,$65,Yes,,,,S,See Website,I or T,,,,,
University of Detroit Mercy,Coed,,,11/1/2025,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,
University of Dubuque,Coed,,,,,,Rolling,$0,$0,,,,,N,None,C or D or I or T or P,,,,,
University of Dundee,Coed,,,,,,Rolling,$0,$0,Yes,Yes,,,I,None,See Website,,,,,Y
University of East London,Coed,,,,,,Rolling,$0,$0,Yes,,,,F,SAT without essay or ACT with science,See Website,,,,,Y
University of Evansville,Coed,,,11/1/2025,,,Rolling,$0,$0,,,,Yes,S,See Website,D or I or T,,,,,Y
University of Florida,Coed,,,11/1/2025,,,1/15/2026,$30,$30,Yes,,,,A,See Website,See Website,,,,,
University of Georgia,Coed,,,10/15/2025,,,1/1/2026,$70,$85,Yes,,,,A,SAT without essay or ACT without science or writing,I or T,,,,,
University of Glasgow,Coed,,,,,,Rolling,$0,$0,,Yes,,,F,See Website,I or T or P,1,,,,Y
University of Guelph,Coed,,,1/15/2026,,,5/15/2026,$95,$95,,Yes,,,S,See Website,See Website,,,Y,,
University of Hartford,Coed,,,11/15/2025,12/15/2025,,Rolling,$0,$0,,,SR,,F,See Website,D or I or T or P,,,,Y,Y
University of Holy Cross,Coed,,,,,,7/24/2026,$0,$0,,,,,S,None,I or T,,,,,
University of Houston,Coed,,,,,,6/1/2026,$75,$90,Yes,,,,S,See Website,See Website,,,,,
University of Idaho,Coed,,,,,,Rolling,$50,$50,,,,,S,SAT without essay or ACT with science,See Website,,,,,Y
University of Illinois Chicago,Coed,,,11/3/2025,,,2/2/2026,$70,$170,Yes,,,,N,See Website,I or T or P,,,Y,,Y
University of Illinois Springfield,Coed,,,12/1/2025,,,Rolling,$0,$0,Yes,,,,I,None,See Website,,,,,Y
University of Illinois Urbana-Champaign,Coed,,,11/1/2025,,,1/5/2026,$75,$75,Yes,,,,N,See Website,D or I or T,,,,,
University of Indianapolis,Coed,,,,,,Rolling,$0,$0,,,,,I,None,I or T,,,,,Y
University of Iowa,Coed,,,11/3/2025,,,5/1/2026,$55,$80,,,,,S,See Website,See Website,,,,,Y
University of Kansas,Coed,,,,,,Rolling,$40,$90,,,,,S,See Website,See Website,,,,,
University of Kentucky,Coed,,,12/1/2025,,,Rolling,$50,$60,Yes,,,,S,See Website,D or I or T,,,,,Y
University of La Verne,Coed,,,,,,Rolling,$50,$50,Yes,,,,N,None,D or I or T or P,,,,,
University of Limerick,Coed,,,,,,Rolling,$50,$50,,Yes,,,A,SAT without essay or ACT with science and writing,See Website,,,Y,,Y
University of Louisiana at Lafayette,Coed,,,,,,7/1/2026,$25,$25,,,,,F,See Website,D or I or T or P,,,,,
University of Louisville,Coed,,,,,,Rolling,$30,$30,,,,,N,See Website,D or I or T,,,,,Y
University of Lynchburg,Coed,11/15/2025,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
University of Maine,Coed,,,12/1/2025,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,,,Y
University of Maine at Augusta,Coed,,,,,,Rolling,$0,$0,,,,,N,None,I or T,,,,,Y
University of Maine at Farmington,Coed,,,12/1/2025,,,Rolling,$0,$0,Yes,,,,N,None,D or I or T or P,,,,Y,Y
